Date,Price
2010-11-02,7657.36
2010-11-03,7559.26
2010-11-04,7557.13
2010-11-05,7558.53
2010-11-06,7558.39
2010-11-07,7558.34
2010-11-08,7575.58
2010-11-09,7574.95
2010-11-10,7576.52
2010-11-11,7576.44
2010-11-12,7569.99
2010-11-13,7570.16
2010-11-14,7569.54
2010-11-15,7557.54
2010-11-16,7575.72
2010-11-17,7560.64
2010-11-18,7559.81
2010-11-19,7561.08
2010-11-20,7561.01
2010-11-21,7560.91
2010-11-22,7565.88
2010-11-23,7562.29
2010-11-24,7564.52
2010-11-25,7563.97
2010-11-26,7564.21
2010-11-27,7564.08
2010-11-28,7563.83
2010-11-29,7564.1
2010-11-30,7563.93
2010-12-01,7564.57
2010-12-02,7579.52
2010-12-03,7561.94
2010-12-04,7433.54
2010-12-05,7431.84
2010-12-06,7431.98
2010-12-07,7429.91
2010-12-08,7418.31
2010-12-09,7424.73
2010-12-10,7281.78
2010-12-11,7281.81
2010-12-12,7285.18
2010-12-13,7252.17
2010-12-14,7088.91
2010-12-15,7409.9
2010-12-16,7438.73
2010-12-17,7440.88
2010-12-18,7457.82
2010-12-19,7457.31
2010-12-20,7461.13
2010-12-21,7454.17
2010-12-22,7457.12
2010-12-23,7453.01
2010-12-24,7441.96
2010-12-25,7441.97
2010-12-26,7448.35
2010-12-27,7447.86
2010-12-28,7444.51
2010-12-29,7445.58
2010-12-30,7445.47
2010-12-31,7447.34
2011-01-01,7447.93
2011-01-02,7561.88
2011-01-03,7516.95
2011-01-04,7516.64
2011-01-05,7521.98
2011-01-06,7521.29
2011-01-07,7519.66
2011-01-08,7556.18
2011-01-09,7560.65
2011-01-10,7562.34
2011-01-11,7564.59
2011-01-12,7566.31
2011-01-13,7566.41
2011-01-14,7566.66
2011-01-15,7562.48
2011-01-16,7592.06
2011-01-17,7472.41
2011-01-18,7464.37
2011-01-19,7459.16
2011-01-20,7447.45
2011-01-21,7479.81
2011-01-22,7483.42
2011-01-23,7450.48
2011-01-24,7443.81
2011-01-25,7397.89
2011-01-26,7451.48
2011-01-27,7452.81
2011-01-28,7450.11
2011-01-29,7461.71
2011-01-30,7461.25
2011-01-31,7459.35
2011-02-01,7457.33
2011-02-02,7388.43
2011-02-03,7522.84
2011-02-04,7520.47
2011-02-05,7522.67
2011-02-06,7559.81
2011-02-07,7560.33
2011-02-08,7561.14
2011-02-09,7562.78
2011-02-10,7563.13
2011-02-11,7563.58
2011-02-12,7552.67
2011-02-13,7553.31
2011-02-14,7599.62
2011-02-15,7559.91
2011-02-16,7561.78
2011-02-17,7447.42
2011-02-18,7444.69
2011-02-19,7375.15
2011-02-20,7379.08
2011-02-21,7481.72
2011-02-22,7465.43
2011-02-23,7517.45
2011-02-24,7519.18
2011-02-25,7545.73
2011-02-26,7532.02
2011-02-27,7594.35
2011-02-28,7586.95
2011-03-01,7652.83
2011-03-02,8517.5
2011-03-03,8571.15
2011-03-04,8593.96
2011-03-05,8719.5
2011-03-06,8716.22
2011-03-07,8721.66
2011-03-08,8722.37
2011-03-09,8550.7
2011-03-10,8550.27
2011-03-11,8623.33
2011-03-12,8494.64
2011-03-13,8518.7
2011-03-14,8516.78
2011-03-15,8547.58
2011-03-16,8554.94
2011-03-17,8564.78
2011-03-18,8583.71
2011-03-19,8583.51
2011-03-20,8583.9
2011-03-21,8370.51
2011-03-22,8423.61
2011-03-23,8386.21
2011-03-24,8398.02
2011-03-25,8335.88
2011-03-26,8442.81
2011-03-27,8451.09
2011-03-28,8424.6
2011-03-29,8527.13
2011-03-30,8545.42
2011-03-31,8517.85
2011-04-01,8548.39
2011-04-02,8535.82
2011-04-03,8535.32
2011-04-04,8532.87
2011-04-05,8580.43
2011-04-06,8586.66
2011-04-07,8602.26
2011-04-08,8601.15
2011-04-09,8701.71
2011-04-10,8746.39
2011-04-11,8745.39
2011-04-12,8656.14
2011-04-13,8657.14
2011-04-14,8725.27
2011-04-15,8689.46
2011-04-16,8717.3
2011-04-17,8708.66
2011-04-18,8713.72
2011-04-19,8706.62
2011-04-20,8706.28
2011-04-21,8706.53
2011-04-22,8717.95
2011-04-23,8733.63
2011-04-24,8703.46
2011-04-25,8694.62
2011-04-29,8909.41
2011-04-30,8907.02
2011-05-01,8906.82
2011-05-02,8773
2011-05-03,8674.67
2011-05-04,8676.82
2011-05-05,8764.35
2011-05-06,8820.35
2011-05-07,8819.39
2011-05-08,8701.02
2011-05-09,8696.07
2011-05-10,8716.28
2011-05-11,8709.99
2011-05-12,8710.28
2011-05-13,8740.07
2011-05-14,8788.49
2011-05-15,8734.73
2011-05-16,8731.8
2011-05-17,8716.55
2011-05-18,8744.4
2011-05-19,8768.4
2011-05-20,8793.32
2011-05-21,8793.13
2011-05-22,8733.32
2011-05-23,8730.98
2011-05-24,8803.58
2011-05-25,8795.41
2011-05-26,8813.1
2011-05-27,8864.73
2011-05-28,8864.27
2011-05-29,8886.23
2011-05-30,8886.46
2011-05-31,8907.19
2011-06-01,8997.68
2011-06-02,8953.55
2011-06-03,8860.86
2011-06-04,9060.57
2011-06-05,9059.98
2011-06-06,9058.19
2011-06-07,9058.73
2011-06-08,9051.14
2011-06-09,9031.77
2011-06-10,9031.45
2011-06-11,9031.34
2011-06-12,9046.3
2011-06-13,8936.49
2011-06-14,8942.79
2011-06-15,8940
2011-06-16,8887.39
2011-06-17,8858.91
2011-06-18,8857.76
2011-06-19,8855.95
2011-06-20,8828.51
2011-06-21,8883.03
2011-06-22,8896.02
2011-06-23,8760.88
2011-06-24,8763.12
2011-06-25,8763.93
2011-06-26,8870.44
2011-06-27,8865.94
2011-06-28,8880.2
2011-06-29,8905.33
2011-06-30,8877.51
2011-07-01,8871.38
2011-07-02,8823.04
2011-07-03,8799.67
2011-07-04,8800.63
2011-07-05,8799.45
2011-07-06,8831.52
2011-07-07,8833.14
2011-07-08,8824.98
2011-07-09,8820.82
2011-07-10,8822.37
2011-07-11,8830.71
2011-07-12,8826.7
2011-07-13,8833.09
2011-07-14,8837.81
2011-07-15,8836.24
2011-07-16,8838.24
2011-07-17,8838.27
2011-07-18,8835.7
2011-07-19,8833.86
2011-07-20,8844.58
2011-07-21,8841.33
2011-07-22,8808.91
2011-07-23,8808.11
2011-07-24,8838.31
2011-07-25,8833.07
2011-07-26,8817.88
2011-07-27,8786.71
2011-07-28,8763.39
2011-07-29,8679.41
2011-07-30,8679.11
2011-07-31,8681.33
2011-08-01,8851.68
2011-08-02,8935.5
2011-08-03,8957.66
2011-08-04,8948.88
2011-08-05,8952.73
2011-08-06,8951.99
2011-08-07,8936.93
2011-08-08,8919.78
2011-08-09,8784.5
2011-08-10,8782.91
2011-08-11,8780.6
2011-08-12,8833.24
2011-08-13,8832.61
2011-08-14,8935.34
2011-08-15,8945.2
2011-08-16,8945.26
2011-08-17,8949.9
2011-08-18,8937.92
2011-08-19,8929.07
2011-08-20,8930.53
2011-08-21,8933.46
2011-08-22,9052.14
2011-08-23,9058.06
2011-08-24,9040.98
2011-08-25,9040.85
2011-08-26,9070.84
2011-08-27,9073.68
2011-08-28,9074.39
2011-08-29,8980.57
2011-08-30,8832.39
2011-08-31,8567.63
2011-09-01,8567.91
2011-09-02,8577.11
2011-09-03,8582.14
2011-09-04,8572.86
2011-09-05,8572.52
2011-09-06,8572.64
2011-09-07,8573.18
2011-09-08,8592.85
2011-09-09,8595.41
2011-09-10,8595.89
2011-09-11,8600.73
2011-09-12,8607.32
2011-09-13,8690.52
2011-09-14,8690.97
2011-09-15,8690.2
2011-09-16,8616.31
2011-09-17,8616.79
2011-09-18,8617.98
2011-09-19,8576.87
2011-09-20,8556.2
2011-09-21,8568.07
2011-09-22,8702.53
2011-09-23,8706.43
2011-09-24,8698.66
2011-09-25,8698.16
2011-09-26,8651.99
2011-09-27,8657.48
2011-09-28,8657.91
2011-09-29,8658.02
2011-09-30,8658.02
2011-10-01,8668.14
2011-10-02,8668.24
2011-10-03,8664.97
2011-10-04,8665.37
2011-10-05,8667.59
2011-10-06,8667.52
2011-10-07,8666.83
2011-10-09,8756.03
2011-10-10,8755.67
2011-10-11,8844.73
2011-10-12,8844.86
2011-10-13,8842.66
2011-10-14,8764.58
2011-10-15,8769.12
2011-10-16,8820.1
2011-10-17,8813.02
2011-10-18,8805.03
2011-10-19,8804.55
2011-10-20,8752.2
2011-10-21,8751.62
2011-10-22,8750.62
2011-10-23,8752.09
2011-10-24,8701.21
2011-10-25,8700.27
2011-10-26,8732.28
2011-10-27,8843.67
2011-10-28,8784.93
2011-10-29,8785.81
2011-10-30,8785.79
2011-10-31,8785.75
2011-11-01,8776.46
2011-11-02,8780.15
2011-11-03,8780.18
2011-11-04,8799.3
2011-11-05,8789.28
2011-11-06,8792.43
2011-11-07,8801.76
2011-11-08,8821.76
2011-11-09,8822.05
2011-11-10,8821.81
2011-11-11,8964.98
2011-11-12,8916.09
2011-11-13,8914.51
2011-11-14,8907.46
2011-11-15,8899.16
2011-11-16,8859.49
2011-11-17,8869.81
2011-11-18,8867.82
2011-11-19,8879.73
2011-11-20,8873.96
2011-11-21,8880.67
2011-11-22,8873.77
2011-11-23,8925.7
2011-11-24,8925.78
2011-11-25,8873.36
2011-11-26,8873.35
2011-11-27,8871.41
2011-11-28,8877.91
2011-11-29,8818.69
2011-11-30,8817.81
2011-12-01,8850.85
2011-12-02,8850.49
2011-12-03,8850.92
2011-12-04,8851.12
2011-12-05,8848.5
2011-12-06,8847.44
2011-12-07,8815.41
2011-12-08,8880.44
2011-12-09,8881.08
2011-12-10,8877.68
2011-12-11,8876.72
2011-12-12,8877.44
2011-12-13,8873.63
2011-12-14,8891.11
2011-12-15,8889.98
2011-12-16,8884.32
2011-12-17,8853.88
2011-12-18,8853.59
2011-12-19,8858.96
2011-12-20,8884.72
2011-12-21,8873.08
2011-12-22,8880.59
2011-12-23,8812.76
2011-12-24,8817.7
2011-12-25,8819.2
2011-12-26,8817.22
2011-12-27,8818.7
2011-12-28,8818.5
2011-12-29,8819.69
2011-12-30,8815.02
2011-12-31,8815.27
2012-01-01,8888.12
2012-01-02,8433.49
2012-01-03,8394.91
2012-01-04,8387.51
2012-01-05,8407.62
2012-01-06,8440.58
2012-01-07,8445.14
2012-01-08,8443.59
2012-01-09,8572.22
2012-01-10,8566.86
2012-01-11,8581.24
2012-01-12,8948.55
2012-01-13,8949.19
2012-01-14,8955.04
2012-01-15,8959.28
2012-01-16,8964.88
2012-01-17,8894.54
2012-01-18,9032.88
2012-01-19,9032.66
2012-01-20,8939.73
2012-01-21,8937.35
2012-01-22,8936.18
2012-01-23,8934.2
2012-01-24,8932.44
2012-01-25,8809.98
2012-01-26,8803.85
2012-01-27,8760.37
2012-01-28,8757.73
2012-01-29,8677.87
2012-01-30,8703.56
2012-01-31,8718.69
2012-02-01,8715.53
2012-02-02,8714.86
2012-02-03,8716.49
2012-02-04,8715.2
2012-02-05,8630.43
2012-02-06,8630.26
2012-02-07,8589.06
2012-02-08,8568.36
2012-02-09,8568.5
2012-02-10,8593.85
2012-02-11,8617.43
2012-02-12,8617.58
2012-02-13,8617.23
2012-02-14,8626.12
2012-02-15,8617.88
2012-02-16,8618.09
2012-02-17,8619.84
2012-02-18,8620.14
2012-02-19,8620.22
2012-02-20,8671.48
2012-02-21,8670.63
2012-02-22,8794.4
2012-02-23,8759.11
2012-02-24,8793.24
2012-02-25,8754.54
2012-02-26,8694.88
2012-02-27,8669.27
2012-02-28,8660.21
2012-02-29,8672.05
2012-03-01,8705.16
2012-03-02,8706.42
2012-03-03,8723.27
2012-03-04,8721.48
2012-03-05,8782.95
2012-03-06,8939.79
2012-03-07,8939.55
2012-03-08,9027.8
2012-03-09,9198.01
2012-03-10,9205.39
2012-03-11,9205.06
2012-03-12,9228.01
2012-03-13,9126.48
2012-03-14,9117.86
2012-03-15,9116.86
2012-03-16,9126.14
2012-03-17,7601.41
2012-03-18,7644.61
2012-03-19,7652.19
2012-03-20,7637.76
2012-03-21,7764.02
