,Time Series Workbook,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,6416.0 Residential Property Price Indexes: Eight Capital Cities,,,,,,,,,,,
,"Table 1. Residential Property Price Index, Index Numbers and Percentage Changes",,,,,,,,,,,
,,,,,,,,,,,,
,,,Inquiries,,,,,,,,,
,,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,
,,,,,,,,,,,,
Residential Property Price Index ;  Sydney ;,,,Original,A83728383L,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Melbourne ;,,,Original,A83728392R,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Brisbane ;,,,Original,A83728401F,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Adelaide ;,,,Original,A83728410J,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Perth ;,,,Original,A83728419C,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Hobart ;,,,Original,A83728428F,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Darwin ;,,,Original,A83728437J,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Canberra ;,,,Original,A83728446K,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index ;  Weighted average of eight capital cities ;,,,Original,A83728455L,Sep-2003,Dec-2020,70,Index Numbers,INDEX,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,,,Original,A83728389A,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,,,Original,A83728398C,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,,,Original,A83728407V,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,,,Original,A83728416W,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Perth ;,,,Original,A83728425X,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Hobart ;,,,Original,A83728434A,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Darwin ;,,,Original,A83728443C,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Canberra ;,,,Original,A83728452F,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from corresponding quarter of previous year ;  Weighted average of eight capital cities ;,,,Original,A83728461J,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Sydney ;,,,Original,A83728386V,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Melbourne ;,,,Original,A83728395W,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Brisbane ;,,,Original,A83728404L,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Adelaide ;,,,Original,A83728413R,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Perth ;,,,Original,A83728422T,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Hobart ;,,,Original,A83728431V,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Darwin ;,,,Original,A83728440W,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Canberra ;,,,Original,A83728449T,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
Residential Property Price Index percentage change from previous quarter ;  Weighted average of eight capital cities ;,,,Original,A83728458V,Sep-2003,Dec-2020,70,Percent,PERCENT,Quarter,3,
,,,,,,,,,,,,
© Commonwealth of Australia  2021,,,,,,,,,,,,
